session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_70.114.251.32_4212026_11,/post/25-years-of-sharepoint-and-a-new-standard-for-copilot-readiness,2026-04-21T11:00:00Z,1,Safari,mobile,iOS,Austin,US,TX,direct,,,,,,
wix_147.161.162.184_592026_22,/post/11-copilot-tips-to-supercharge-your-productivity,2026-05-09T22:00:00Z,1,Edge,desktop,Windows,Johannesburg,ZA,GP,organic,https://bing.com/,,,,,
wix_73.36.118.181_1222026_8,/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,2026-01-22T08:00:00Z,1,Safari,mobile,iOS,Cary,US,IL,organic,https://google.com/,,,,,
wix_unknown_172026_6,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-07T06:00:00Z,1,Edge,desktop,Windows,Dordrecht,NL,ZH,referral,https://statics.teams.cdn.office.net/,,,,,
wix_170.85.56.176_612026_16,/,2026-06-01T16:00:00Z,1,Chrome,desktop,Windows,Atlanta,US,GA,organic,https://google.com/,,,,,78000
wix_64.137.73.128_2222026_23,/post/microsoft-purview-s-adaptive-dlp-brings-scalable-control-to-copilot,2026-02-22T23:00:00Z,1,Chrome,desktop,Windows,Madrid,ES,M,organic,https://bing.com/,,,,,
wix_unknown_112026_9,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-01T09:00:00Z,1,Edge,desktop,Mac OS,,US,,referral,https://7rm60023.ibosscloud.com/,,,,,
wix_unknown_1182026_15,/,2026-01-18T15:00:00Z,1,Safari,mobile,iOS,Newark,US,NJ,direct,,,,,,
wix_136.226.166.85_2282026_9,/,2026-02-28T09:00:00Z,1,Chrome,desktop,Windows,London,GB,ENG,organic,https://google.com/,,,,,
wix_84.37.215.47_2172026_13,/post/upgrading-your-company-operating-system-2026-from-ambition-to-execution,2026-02-17T13:00:00Z,1,Chrome,desktop,Windows,Ashburn,US,VA,referral,,hs_email,email,,23481503,
wix_97.170.82.80_3112026_12,/blank-10/experiences-old,2026-03-11T12:00:00Z,1,Chrome,desktop,Mac OS,Murrieta,US,CA,direct,,,,,,14000
wix_36.151.116.85_4212026_9,/post/andrew-connell-good-ai-coding-vibrations,2026-04-21T09:00:00Z,1,Chrome,desktop,Windows,Nanjing,CN,JS,direct,,,,,,
